node_id	pr_value
663930	0.00017252677659965095
482708	9.51098867115712e-05
1034017	5.440975439622651e-05
663559	4.830208007669774e-05
357530	4.5934085281177266e-05
1120567	4.485106613472902e-05
663605	4.4262577859331245e-05
663682	3.661575055135128e-05
1108860	3.6530874613957e-05
664788	3.452526410651644e-05
